Document,Distance_to_Centroid,Threshold,Classification
PsGregorNyss_2017036_DeParadiso.xml_0,0.0706535279750824,0.27344804820461366,Asterius
CPG4706_AdEosQuiMagniAestimantOpes.xml_0,0.07323135435581207,0.27344804820461366,Asterius
CPG4573_InDuodecimApostolos.txt_0,0.07590463012456894,0.27344804820461366,Asterius
CPG2861_InBarlaamMartyrem.xml_0,0.07824800163507462,0.27344804820461366,Asterius
PSBasilius_2040033_InBarlaamMartyrem.xml_0,0.07824800163507462,0.27344804820461366,Asterius
AsteriusIgnotus_HomiliainferiamVinfraOctauamPaschae.txt_0,0.07988070696592331,0.27344804820461366,Asterius
CPG4858_InVerEtInResurrectionem.txt_0,0.11407200247049332,0.27344804820461366,Asterius
CPG4519_InAnnuntiationemBeataeVirginis.xml_0,0.11649029701948166,0.27344804820461366,Asterius
CPG4972_DeVigilantia.txt_0,0.12377945333719254,0.27344804820461366,Asterius
CPG2930_HomiliaInAquas.xml_0,0.12594729661941528,0.27344804820461366,Asterius
CPG4632_DeSpe.xml_0,0.13170179724693298,0.27344804820461366,Asterius
CPG4658_InZacchaeumPublicanum.xml_0,0.1376001089811325,0.27344804820461366,Asterius
CPG5004_InSanctamTheophaniam.txt_0,0.13819216191768646,0.27344804820461366,Asterius
CPG4690_InSanctumStephanumHomilia1.xml_0,0.13873927295207977,0.27344804820461366,Asterius
CPG4571_InPraecursoremDomini.xml_0,0.14038360118865967,0.27344804820461366,Asterius
CPG4699_QuodMariSimilisSitHaecVita.txt_0,0.14730492234230042,0.27344804820461366,Asterius
CPG4552_2_InPsalmum118Homilia2.xml_0,0.14904484152793884,0.27344804820461366,Asterius
CPG3172_ContraFornicarios.xml_0,0.15679669380187988,0.27344804820461366,Asterius
CPG4608_InPaschaSermo3.xml_0,0.165360689163208,0.27344804820461366,Asterius
CPG4758_InChristiNatalem.xml_0,0.16824929416179657,0.27344804820461366,Asterius
CPG4641_InMeretricemEtInPharisaeum.xml_0,0.17045702040195465,0.27344804820461366,Asterius
AsteriusIgnotus_InPsalmum8homilia1.txt_0,0.17542646825313568,0.27344804820461366,Asterius
CPG4601_InMediamHebdomadamIeiuniorum.xml_0,0.18409930169582367,0.27344804820461366,Asterius
CPG4733_DeMeretrice.xml_0,0.1912502944469452,0.27344804820461366,Asterius
CPG4732_InMagnamFeriamQuintam.txt_0,0.21026059985160828,0.27344804820461366,Asterius
CPG4673_InResurrectionemDomini.xml_0,0.21189038455486298,0.27344804820461366,Asterius
CPG3187_InStephanumProtomartyremII.xml_0,0.2156740128993988,0.27344804820461366,Asterius
CPG5007_InOrationemDominicam.xml_0,0.21584941446781158,0.27344804820461366,Asterius
CPG4662_DeIeiunio.txt_0,0.22174693644046783,0.27344804820461366,Asterius
PsBasilius_2040056_HomiliaInPsalmum132.txt_0,0.22564290463924408,0.27344804820461366,Asterius
CPG4635_InProditionemIudae.xml_0,0.22614407539367676,0.27344804820461366,Asterius
CPG4566_DeIoseph.xml_0,0.2293013632297516,0.27344804820461366,Asterius
CPG4871_OratioDeNativitate.txt_0,0.23375986516475677,0.27344804820461366,Asterius
AsteriusIgnotus_InPsalmum1.txt_0,0.23690050840377808,0.27344804820461366,Asterius
CPG4590_DeLazaroEtDivite.xml_0,0.2384314090013504,0.27344804820461366,Asterius
CPG4609_InPaschaSermo4.xml_0,0.24054054915905,0.27344804820461366,Asterius
CPG4535_InAscensionemSermo5.xml_0,0.2429603785276413,0.27344804820461366,Asterius
CPG4511_DeProditioneIudae.xml_0,0.255221962928772,0.27344804820461366,Asterius
